book_number,series,title,author,is_read,format
5,Artemis Fowl,Artemis Fowl – The Lost Colony,Eoin Colfer,,Kindle
6,Artemis Fowl,Artemis Fowl and the Time Paradox,Eoin Colfer,,Kindle
7,Artemis Fowl,Artemis Fowl and the Atlantis Complex,Eoin Colfer,,Kindle
8,Artemis Fowl,Artemis Fowl - The Last Guardian,Eoin Colfer,,Kindle
,Elon Musk,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",,,Kindle
1,Famous Five,Five on a Treasure Island,Enid Blyton,,Physical
2,Famous Five,Five Go Adevnturing Again,Enid Blyton,,Physical
3,Famous Five,Five Run Away Together,Enid Blyton,,Physical
4,Famous Five,Five Go To Smugglers Top,Enid Blyton,,Physical
5,Famous Five,Five Go Off In A Caravan,Enid Blyton,,Physical
6,Famous Five,Five On Kirrin Island Again,Enid Blyton,,Physical
7,Famous Five,Five Go Off To Camp,Enid Blyton,,Physical
8,Famous Five,Five Get Into Trouble,Enid Blyton,,Physical
9,Famous Five,Five Fall Into Adventure,Enid Blyton,,Physical
10,Famous Five,Five Go On A Hike Together,Enid Blyton,,Physical
11,Famous Five,Five Have A Wonderful Time,Enid Blyton,,Physical
12,Famous Five,Five Go Down To Sea,Enid Blyton,,Physical
13,Famous Five,Five Go To Mystery Moor,Enid Blyton,,Physical
14,Famous Five,Five Have Plenty Of Fun,Enid Blyton,,Physical
15,Famous Five,Five On A Secret Trail,Enid Blyton,,Physical
16,Famous Five,Five Go To BillyCock Hill,Enid Blyton,,Physical
17,Famous Five,Five Get Into A Fix,Enid Blyton,,Physical
18,Famous Five,Five On Finniston Farm,Enid Blyton,,Physical
19,Famous Five,Five Go To Demons Rocks,Enid Blyton,,Physical
20,Famous Five,Five Have A Mystery To Solve,Enid Blyton,,Physical
21,Famous Five,Five Are Together Again,Enid Blyton,,Physical
,Fifty shades of Grey,Freed by E L James,E.L. James,,Kindle
,Fifty shades of Grey,Darker,E.L. James,,Kindle
,Fifty shades of Grey,Grey,E.L. James,,Kindle
,Fifty shades of Grey,Fifty Shades Freed,E.L. James,,Kindle
,Fifty shades of Grey,Fifty Shades Darker,E.L. James,,Kindle
,Fifty shades of Grey,Fifty Shades of Grey,E.L. James,,Kindle
,Geronimo Stilton,Thea Stilton and the Mystery on the Orient Express ,Geronimo Stilton,,Kindle
,Goosebumps,Say Cheese and Die! (Classic Goosebumps #8),R. L. Stein,,Kindle
,Goosebumps,How I Got My Shrunken Head (Classic Goosebumps #10),R. L. Stein,,Kindle
,Goosebumps SlappWorld,Slappy Birthday to You (Goosebumps SlappyWorld #1),R. L. Stein,,Kindle
1,Hardy Boys,The Tower Treasure by Franklin W Dixon,Franklin W. Dixon,,Kindle
2,Hardy Boys,The House on the Cliff by Franklin W Dixon,Franklin W. Dixon,,Kindle
3,Hardy Boys,"The Secret of the Old Mill by Dixon, Franklin W",Franklin W. Dixon,,Kindle
4,Hardy Boys,"The Missing Chums by Dixon, Franklin W",Franklin W. Dixon,,Kindle
5,Hardy Boys,"Hunting for Hidden Gold by Dixon, Franklin W",Franklin W. Dixon,,Kindle
6,Hardy Boys,"The Shore Road Mystery by Dixon, Franklin W",Franklin W. Dixon,,Kindle
7,Hardy Boys,"The Secret Of The Caves by Dixon, Franklin W",Franklin W. Dixon,,Kindle
8,Hardy Boys,"The Mystery Of Cabin Island by Dixon, Franklin W",Franklin W. Dixon,,Kindle
9,Hardy Boys,"The Great Airport Mystery by Dixon, Franklin W",Franklin W. Dixon,,Kindle
10,Hardy Boys,"What Happened at Midnight by Dixon, Franklin W",Franklin W. Dixon,,Kindle
11,Hardy Boys,"While The Clock Ticked by Dixon, Franklin W",Franklin W. Dixon,,Kindle
12,Hardy Boys,"Footprints Under The Window by Dixon, Franklin W",Franklin W. Dixon,,Kindle
13,Hardy Boys,"The Mark On The Door by Dixon, Franklin W",Franklin W. Dixon,,Kindle
14,Hardy Boys,"The Hidden Harbor Mystery by Dixon, Franklin W",Franklin W. Dixon,,Kindle
15,Hardy Boys,"The Sinister Signpost by Dixon, Franklin W",Franklin W. Dixon,,Kindle
16,Hardy Boys,"A Figure In Hiding by Dixon, Franklin W",Franklin W. Dixon,,Kindle
17,Hardy Boys,"The Secret Warning by Dixon, Franklin W",Franklin W. Dixon,,Kindle
18,Hardy Boys,"The Twisted Claw by Dixon, Franklin W",Franklin W. Dixon,,Kindle
19,Hardy Boys,"The Disappearing Floor by Dixon, Franklin W",Franklin W. Dixon,,Kindle
20,Hardy Boys,"The Mystery Of The Flying Express by Dixon, Franklin W",Franklin W. Dixon,,Kindle
21,Hardy Boys,Hardy Boys - The Clue of the Broken Blade (Franklin W. Dixon) (z-lib.org),Franklin W. Dixon,,Kindle
61,Hardy Boys,Hardy Boys - The Pentagon Spy,Franklin W. Dixon,,Kindle
89,Hardy Boys,The Hardy Boys Casefiles #89 Darkness Falls,Franklin W. Dixon,,Kindle
138,Hardy Boys,The Alaskan Adventure (The Hardy Boys Book 138),Franklin W. Dixon,,Kindle
153,Hardy Boys,Eye on Crime (The Hardy Boys Book 153),Franklin W. Dixon,,Kindle
154,Hardy Boys,The Carribean Cruise Caper,Franklin W. Dixon,,Physical
159,Hardy Boys,Daredevils,Franklin W. Dixon,,Physical
164,Hardy Boys,Skin and Bones,Franklin W. Dixon,,Physical
176,Hardy Boys,In Plane Sight,Franklin W. Dixon,,Physical
179,Hardy Boys,Passport to Danger,Franklin W. Dixon,,Physical
180,Hardy Boys,Typhoon Island (The Hardy Boys Book 180),Franklin W. Dixon,,Kindle
184,Hardy Boys,The Dangerous Transmission (The Hardy Boys Book 184),Franklin W. Dixon,,Kindle
187,Hardy Boys,No Way Out,Franklin W. Dixon,,Physical
190,Hardy Boys,Motorcross Madness,Franklin W. Dixon,,Physical
1,Hardy Boys Undercover Brothers,Extreme Danger,Franklin W. Dixon,,Physical
2,Hardy Boys Undercover Brothers,Running on Fumes,Franklin W. Dixon,,Physical
3,Hardy Boys Undercover Brothers,Boardwalk Bust,Franklin W. Dixon,,Physical
4,Hardy Boys Undercover Brothers,Thrill Ride,Franklin W. Dixon,,Physical
5,Hardy Boys Undercover Brothers,Rocky Road (The Hardy Boys: Undercover Brothers Book 5),Franklin W. Dixon,,Kindle
6,Hardy Boys Undercover Brothers,Burned,Franklin W. Dixon,,Physical
7,Hardy Boys Undercover Brothers,Operation: Survival,Franklin W. Dixon,,Physical
8,Hardy Boys Undercover Brothers,Top Ten Ways to Die,Franklin W. Dixon,,Physical
9,Hardy Boys Undercover Brothers,Martial Law,Franklin W. Dixon,,Physical
10,Hardy Boys Undercover Brothers,Blowan Away,Franklin W. Dixon,,Physical
11,Hardy Boys Undercover Brothers,Hurricane Joe,Franklin W. Dixon,,Physical
12,Hardy Boys Undercover Brothers,Trouble in Paradise (The Hardy Boys: Undercover Brothers Book 12),Franklin W. Dixon,,Kindle
13,Hardy Boys Undercover Brothers,The Mummy's Curse (The Hardy Boys: Undercover Brothers Book 13),Franklin W. Dixon,,Kindle
14,Hardy Boys Undercover Brothers,Hazed (The Hardy Boys: Undercover Brothers Book 14),Franklin W. Dixon,,Kindle
15,Hardy Boys Undercover Brothers,Death and Diamonds (The Hardy Boys: Undercover Brothers Book 15),Franklin W. Dixon,,Kindle
16,Hardy Boys Undercover Brothers,Bayport Buccaneers (The Hardy Boys: Undercover Brothers Book 16),Franklin W. Dixon,,Kindle
17,Hardy Boys Undercover Brothers,Murder at the Mall,Franklin W. Dixon,Y,PDF
18,Hardy Boys Undercover Brothers,Pushed,Franklin W. Dixon,,Physical
19,Hardy Boys Undercover Brothers,"Foul Play (Hardy Boys Undercover Brothers, No. 19) by Franklin W. Dixon",Franklin W. Dixon,,Kindle
20,Hardy Boys Undercover Brothers,Feeding Frenzy,Franklin W. Dixon,Y,PDF
21,Hardy Boys Undercover Brothers,Comic Con Artist,Franklin W. Dixon,Y,PDF
22,Hardy Boys Undercover Brothers,Deprivation House : Book One in the Murder House Trilogy,Franklin W. Dixon,,Physical
23,Hardy Boys Undercover Brothers,House Arrest : Book Two in the Murder House Trilogy,Franklin W. Dixon,,Physical
24,Hardy Boys Undercover Brothers,Murder House : Book Three in the Murder House Trilogy,Franklin W. Dixon,,Physical
25,Hardy Boys Undercover Brothers,Double Trouble,Franklin W. Dixon,Y,PDF
26,Hardy Boys Undercover Brothers,Double Down,Franklin W. Dixon,Y,PDF
27,Hardy Boys Undercover Brothers,Double Deception,Franklin W. Dixon,Y,PDF
28,Hardy Boys Undercover Brothers,Galaxy X: Book One in the Galaxy X Trilogy (The Hardy Boys: Undercover Brothers 28),Franklin W. Dixon,,Physical
29,Hardy Boys Undercover Brothers,Xplosion: Book Two in the Galaxy X Trilogy (The Hardy Boys: Undercover Brothers 28),Franklin W. Dixon,Y,PDF
30,Hardy Boys Undercover Brothers,The X-Factor: Book Three in the Galaxy X Trilogy (The Hardy Boys: Undercover Brothers 30),Franklin W. Dixon,,Kindle
31,Hardy Boys Undercover Brothers,Killer Mission : Book One in the Killer Mystery Trilogy (The Hardy Boys: Undercover Brothers 32),Franklin W. Dixon,Y,PDF
32,Hardy Boys Undercover Brothers,Private Killer : Book Two in the Killer Mystery Trilogy (The Hardy Boys: Undercover Brothers 32),Franklin W. Dixon,,Physical
33,Hardy Boys Undercover Brothers,Killer Connections: Book Three in the Killer Mystery Trilogy (The Hardy Boys: Undercover Brothers 33),Franklin W. Dixon,,Kindle
34,Hardy Boys Undercover Brothers,The Children of the Lost: Book One in the Lost Mystery Trilogy (The Hardy Boys: Undercover Brothers 34),Franklin W. Dixon,,Kindle
35,Hardy Boys Undercover Brothers,The Children of the Lost: Book Two in the Lost Mystery Trilogy (The Hardy Boys: Undercover Brothers 34),Franklin W. Dixon,Y,PDF
36,Hardy Boys Undercover Brothers,Forever Lost: Book Three in the Lost Mystery Trilogy (The Hardy Boys: Undercover Brothers 36),Franklin W. Dixon,,Physical
37,Hardy Boys Undercover Brothers,Movie Menace: Book One in the Deathstalker Trilogy (The Hardy Boys: Undercover Brothers 37),Franklin W. Dixon,,Kindle
38,Hardy Boys Undercover Brothers,Movie Menace: Book Two in the Deathstalker Trilogy (The Hardy Boys: Undercover Brothers 37),Franklin W. Dixon,Y,PDF
39,Hardy Boys Undercover Brothers,Movie Mayhem: Book Three in the Deathstalker Trilogy (The Hardy Boys: Undercover Brothers 39),Franklin W. Dixon,,Kindle
,Hardy Boys Undercover Brothers,Wanted (Super Mysteries Book 1),Franklin W. Dixon,,Kindle
,Hardy Boys Undercover Brothers,Kidnapped at the Casino (Super Mysteries Book 2),Franklin W. Dixon,,Kindle
1,Harry Potter,Harry Potter and the Philosopher's Stone,J. K. Rowling,,Physical
2,Harry Potter,Harry Potter and the Chamber of Secrets,J. K. Rowling,,Kindle
3,Harry Potter,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,Physical
4,Harry Potter,Harry Potter and the Goblet of Fire,J. K. Rowling,,Kindle
5,Harry Potter,Harry Potter and the Order of the Phoenix,J. K. Rowling,,Kindle
6,Harry Potter,Harry Potter and the Half Blood Prince,J. K. Rowling,,Kindle
7,Harry Potter,Harry Potter and the Deathly Hallows,J. K. Rowling,,Physical
1,Percy Jackson,Percy Jackson and the Lightning Thief,Rick Riordan,,Physical
2,Percy Jackson,Percy Jackson and the Olympians - The Sea of Monsters,Rick Riordan,,Kindle
3,Percy Jackson,Percy Jackson and the Titan's Curse,Rick Riordan,,Physical
4,Percy Jackson,The Battle of the Labyrinth,Rick Riordan,,Kindle
5,Percy Jackson,Percy Jackson and The Last Olympian,Rick Riordan,,Kindle
,Percy Jackson,Percy Jackson and the Greek Gods,Rick Riordan,,Kindle
,Percy Jackson,Percy Jackson and the Greek Heroes,Rick Riordan,,Kindle
1,Percy Jackson: Heroes of Olympus,Heroes of Olympus - The Lost Hero,Rick Riordan,,Kindle
2,Percy Jackson: Heroes of Olympus,Hereos of Olympus - The Son of Neptune,Rick Riordan,,Kindle
3,Percy Jackson: Heroes of Olympus,Heroes of Olympus - The Mark of Athena,Rick Riordan,,Kindle
4,Percy Jackson: Heroes of Olympus,Heroes of Olympus - The House of Hades,Rick Riordan,,Kindle
5,Percy Jackson: Heroes of Olympus,Hereos of Olympus - The Blood of Olympus,Rick Riordan,,Physical
2,Percy Jackson: Kane Chronicles,The Kane Chronicles - The Throne of Fire,Rick Riordan,,Kindle
3,Percy Jackson: Kane Chronicles,The Kane Chronicle - The Serpent's Shadow,Rick Riordan,,Kindle
1,Percy Jackson: Kane Chronicles,The Kane Chronicles - The Red Pyramid,Rick Riordan,,Kindle
,Percy Jackson: Magnus Chase,Magnus Chase - The Ship of the Dead,Rick Riordan,,Kindle
,Percy Jackson: Magnus Chase,9 From the Nine Worlds,Rick Riordan,,Kindle
1,Percy Jackson: Trials of Apollo,The Hidden Oracle,Rick Riordan,,Kindle
2,Percy Jackson: Trials of Apollo,The Dark Prophecy,Rick Riordan,,Physical
3,Percy Jackson: Trials of Apollo,The Burning Maze,Rick Riordan,,Kindle
4,Percy Jackson: Trials of Apollo,The Tyrant's Tomb,Rick Riordan,,Physical
5,Percy Jackson: Trials of Apollo,The Tower of Nero (The Trials of Apollo Book 5),Rick Riordan,,Kindle
1,Secret Seven,The Secret Seven,Enid Blyton,,Physical
2,Secret Seven,Secret Seven Adventure,Enid Blyton,,Physical
3,Secret Seven,Well Done Secret Seven,Enid Blyton,,Physical
4,Secret Seven,Secret Seven On The Trail,Enid Blyton,,Physical
5,Secret Seven,Go Ahead Secret Seven,Enid Blyton,,Physical
6,Secret Seven,Good Work Secret Seven,Enid Blyton,,Physical
7,Secret Seven,Secret Seven Win Through,Enid Blyton,,Physical
8,Secret Seven,Three Cheers Secret Seven,Enid Blyton,,Physical
9,Secret Seven,Secret Seven Mystery,Enid Blyton,,Physical
10,Secret Seven,Puzzle For The Secret Seven,Enid Blyton,,Physical
11,Secret Seven,Secret Seven Fireworks,Enid Blyton,,Physical
12,Secret Seven,Good Old Secret Seven,Enid Blyton,,Physical
13,Secret Seven,Look Out Secret Seven,Enid Blyton,,Physical
14,Secret Seven,Shock For The Secret Seven,Enid Blyton,,Physical
15,Secret Seven,Fun For The Secret Seven,Enid Blyton,,Physical
,Sherlock Holmes,The Complete Sherlock Holmes Collection: 221B (Illustrated),Arthur Conan Doyle,,Kindle
,Sherlock Holmes,The Case-Book of Sherlock Holmes ,Arthur Conan Doyle,,Kindle
,Sherlock Holmes,Sherlock Holmes: The Ultimate Collection,Arthur Conan Doyle,,Kindle
,Six Cousins,Six Cousins Again,Enid Blyton,,Kindle
,Six Cousins,Six Cousins at Mistletoe Farm,Enid Blyton,,Kindle
,Steve Jobs,Steve Jobs: The Exclusive Biography,,,Kindle
3,The Adventure Series,The Valley of Adventure,Enid Blyton,,Kindle
4,The Adventure Series,The Sea of Adventure,Enid Blyton,,Physical
5,The Adventure Series,The Mountain of Adventure,Enid Blyton,,Kindle
6,The Adventure Series,The Ship of Adventure,Enid Blyton,,Kindle
7,The Adventure Series,The Circus of Adventure,Enid Blyton,,Kindle
8,The Adventure Series,The River of Adventure,Enid Blyton,,Kindle
1,The Mystery Series,The Mystery of the Burnt Cottage,Enid Blyton,,Physical
2,The Mystery Series,The Mystery of the Disappearing Cat ,Enid Blyton,,Physical
3,The Mystery Series,The Mystery of the Secret Room (1945),Enid Blyton,,Physical
4,The Mystery Series,The Mystery of the Spiteful Letters (1946),Enid Blyton,,Physical
5,The Mystery Series,The Mystery of the Missing Necklace (1947),Enid Blyton,,Physical
6,The Mystery Series,The Mystery of the Hidden House (1948),Enid Blyton,,Physical
7,The Mystery Series,The Mystery of the Pantomime Cat (1949),Enid Blyton,,Physical
8,The Mystery Series,The Mystery of the Invisible Thief (1950),Enid Blyton,,Physical
9,The Mystery Series,The Mystery of the Vanished Prince (1951),Enid Blyton,,Physical
10,The Mystery Series,The Mystery of the Strange Bundle (1952),Enid Blyton,,Physical
11,The Mystery Series,The Mystery of Holly Lane (1953),Enid Blyton,,Physical
12,The Mystery Series,The Mystery of Tally-Ho Cottage (1954),Enid Blyton,,Physical
13,The Mystery Series,The Mystery of the Missing Man (1956),Enid Blyton,,Kindle
14,The Mystery Series,The Mystery of the Strange Messages (1957),Enid Blyton,,Physical
15,The Mystery Series,The Mystery of Banshee Towers (1961),Enid Blyton,,Kindle
,,The Last Sanctuary: A Post-Apocalyptic Survival Series,,,Kindle
,,Elementals: The Complete Series,,,Kindle
,,Paper Towns: Slipcase Edition,,,Kindle
,,The Transcend Time Saga: The Complete Series,,,Kindle
,,Me Before You: ,,,Kindle
,,Born A Crime: Stories from a South African Childhood,,,Kindle
,,Flying Blind The 737 MAX Tragedy and the Fall of Boeing ,,,Kindle
,,Boeing versus Airbus the inside story of the greatest international competition in business ,,,Kindle
,,Hard landing the epic contest for power and profits that plunged the airlines into chaos by Thomas Petzinger,,,Kindle
,,"Emerging from turbulence Boeing and stories of the American workplace today (Grunberg, Leon Moore, Sarah)",,,Kindle
,,Skygods - The Fall of Pan Am by Robert Gandt,,,Kindle
,,Murder on the Orient Express by Agatha Christie,,,Kindle
,,The Fault in Our Stars - John Green,,,Kindle
,,Alibaba The House That Jack Ma Built by Duncan Clark,,,Kindle
,,After We Collided,,,Kindle
,,Humble Pie,,,Kindle
,,Rich People Problems,,,Kindle
,,China Rich Girlfriend,,,Kindle
,,Crazy Rich Asians,,,Kindle
,,Cover,,,Kindle
,,Sam Walton: Made in America,,,Kindle
,,Magnus Chase and the Sword of Summer,,,Kindle
,,After,,,Kindle
,,After You,,,Kindle
,,The Snowball Warren Buffett and the Business of Life,,,Kindle
,,Shoe Dog,,,Kindle
,,The Top Gear Story_ The 100% Unofficial Story of the Most Famous Car Show . . . In the World,,,Kindle
,,"In The Plex How Google Thinks, Works, and Shapes Our Lives",,,Kindle
,,"Losing My Virginity_ How I Survived, Had Fun, and Made a Fortune Doing Business My Way",,,Kindle
,,The Scorch Trials,,,Kindle
,,The Maze Runner,,,Kindle
,,Divergent,,,Kindle
,,Divergent,,,Kindle
,,13 Reasons Why,,,PDF
,,Adventures of the Wishing Chair,Enid Blyton,,PDF
,,After Ever Happy,Anna Todd,,PDF
,Asterix,Asterix and the Griffin,,,
1,Asterix,Book 1: Asterix the Gaul (1961),,,
2,Asterix,Book 2: Asterix and the Golden Sickle (1962),,,
3,Asterix,Book 3: Asterix and the Goths (1963),,,
4,Asterix,Book 4: Asterix the Gladiator (1964),,,
5,Asterix,Book 5: Asterix and the Banquet (1965),,,
6,Asterix,Book 6: Asterix and Cleopatra (1965),,,
7,Asterix,Book 7: Asterix and the Big Fight (1966),,,
8,Asterix,Book 8: Asterix in Britain (1966),,,
9,Asterix,Book 9: Asterix and the Normans (1967),,,
10,Asterix,Book 10: Asterix the Legionary (1967),,,
11,Asterix,Book 11: Asterix and the Chieftain’s Shield (1967),,,
12,Asterix,Book 12: Asterix at the Olympic Games (1968),,,
13,Asterix,Book 13: Asterix and the Cauldron (1969),,,
14,Asterix,Book 14: Asterix in Spain (1969),,,
15,Asterix,Book 15: Asterix and the Roman Agent (1970),,,
16,Asterix,Book 16: Asterix in Switzerland (1970),,,
17,Asterix,Book 17: The Mansions of the Gods (1971),,,
18,Asterix,Book 18: Asterix and the Laurel Wreath (1972),,,
19,Asterix,Book 19: Asterix the Soothsayer (1972),,,
20,Asterix,Book 20: Asterix in Corsica (1973),,,
21,Asterix,Book 21: Asterix and the Caesar’s Gift (1974),,,
22,Asterix,Book 22: Asterix and the Great C,,,
23,Asterix,Book 23: Obelix and Co (1976),,,
24,Asterix,Book 24: Asterix in Belgium (1979),,,
25,Asterix,Book 25: Asterix and the Great Divide (1980),,,
26,Asterix,Book 26: Asterix and the Black God (1981),,,
27,Asterix,Book 27: Asterix and Son (1983),,,
28,Asterix,Book 28: Asterix and the Magic Carpet (1987),,,
29,Asterix,Book 29: Asterix and the Secret Weapon (1991),,,
30,Asterix,Book 30: Asterix and the Obelix All at Sea (1996),,,
31,Asterix,Book 31: Asterix and the Actress (2001),,,
32,Asterix,Book 32: Asterix and the Class Act (2003),,,
33,Asterix,Book 33: Asterix and the Falling Sky (2005),,,
34,Asterix,Book 34: Asterix and Obelix’s Birthday: The Golden Book (2009),,,
35,Asterix,Book 35: Asterix and the Picts (2013),,,
36,Asterix,Book 36: Asterix and the Missing Scroll (2015),,,
37,Asterix,Book 37: Asterix and the Chariot Race (2017),,,
38,Asterix,Book 38: Asterix and the Chieftain’s Daughter (2019),,,
39,Asterix,Book 39: Asterix and the Griffin (2021),,,
,,And on that Bombshell,,,
,,Biography of Bill Gates,,,
,,Boeing the complete story,,,
,,"Creativity,Inc",,,
,,Higher 100 Year of Boeing,,,
,,Netflix and the reinvenstion of the television,,,
